Reviews,Class
excellent product perfect condition,1
excellent,1
excelente,1
excelente,1
bought mom loves,0
came arabian keyboard,0
love phone problem problem only once mic goes that s it no mic but take beating,0
love it,1
very practical user friendly satisfied it,1
sharp classy,1
,1
gooddd,1
shipped quickly exactly expected,1
works wonderful price,1
bought alternative smart data plan use go phone pay as you go plan functions great radio music players sound quality smart type features easier faster use smart used there software glitches documented nokia support site proved easily fixed even though many nokia based features longer supported microsoft still use features needed accessing web directly via wifi connection data want pay privilege launching site application there although new nokia browser pretty spartan appearance fast runs stability big guy lands large even size find full qwerty keyboard pretty easy use programmable hot keys on screen shortcuts keeps launching items require data connections accident back lighting thorough even raised buttons tactile positive click response quirks there airplane mode far tell flight profile seem able set broadcasting receiving functions turned off main navigation button mouse little small always respond expected might though all would recommend vendor highly want features smart need gps big data bill every month bunch things need want keep life running smoothly,1
muy buen producto,1
trapped want simple get old school flip if want something also work get blackberry somthing new even middle two another dimension nothing frustration,0
excellent,1
a friend mentioned worth said thanks lot friend,1
used unlocked gsm nokia asha philippines recently jan feb excellent problem functionality bought p sim card airport presto worked passed brother instant came back us he visiting philippines soon easy use having used smart phones w touch screen surprised worked w easily read instructions operate it i ll buy another definitely upgraded version nokia unlocked gsm,1
excelente,1
excellent youngest son walk reasonable options quality first,1
excelente,1
solid,1
good choice,1
perfect practical easy handle resolution well packed,1
excellent product all right i recommend,1
excelente,1
excelente,1
nokia brand used telephone price excellent team gift daughter liked it easy use affordable price recommend it,1
first off let say i ve nokia user since first cell age ten years ago of course year ventured samsung land died back nokia went but i ve always enjoyed nokia phones second i ve looking qwerty internet video mp playing capabilities asha fits it strong build dropped numerous times still intact keyboard fan touchscreens which get asha as far sound think depends headphones earbuds produced loudness decibels made listening experience mediocre bought buds db loudness sound much better nokia xpress bit sucky downloaded opera browser works slightly better internet experience pretty easy get video games sns even pc reason use phone my wish built antenna could listen radio without rds earbuds other that really want move blackberrys want pay much nokia asha start with edit october found gino cm section telescoping stainless steel am fm radio antenna mm plug use playing radio speaker so i m really enjoying i m sitting outside friends desk,1
nokia asha unlocked gsm phone mp camera video qwertydependabletraditional nokia menu snot complicated smart phones durableeasy use straighttalk internet wifi bluetooth,1
solidly built unlocked update popular nokia c runs s software goods bads reception nice audio g supports bands at t t mobile hspa refarmed pcs band band the keyboard pretty good firm nokia qwerty phones e g e comparable c keyboard obviously world market since added european chars symbols keypad wi fi works fine opera mini installed runs without problems way go bit web surfing tried e mail social clients text messaging set normal in box conversation modes ovi store app seem work well there couple features found appealing ability backup memory sd card ability lock keypad passcode either manually automatically set time battery fairly sized bl j function keys d pad keys re assigned user defined short cuts my opinion worthy update g c quite league expensive e multi tasking s software for price around unlocked feature gsm g well worth considering long knows getting non smart apps s limited,1
hola compramos dos tel fonos vienieron totalente diferentes uno vino con la bater a da ada se descarga de inmediato el otro tel fono vino sin la tarjeta de memoria los teclados cargadores son muy distintos mi t a yo nos sentimos enga adas defraudadas,0
this cellphone is very easy for using it has complete apps for the most important contact with other people most of them are incorporated and just had to use it with wi fi connection am satisfied with this purchased it is a simple phone but complete and it is the most important,1
gracias me llego el procto que compre y llevo en el momento indicado y en un buen envalaje lo recomiendo sastifactoriamente,1
freezes alot but bought primarily playing back music instead bb its sms rings really loud body strong neat,1
keys little hard hit expect spanish keyboard but overall,1
preface would considered smartphone united states nothing par android iphone windows phone basically feature also although says us warranty warranty material came referenced latin american countries sure really covered us warranty returned amazon s return window issue now review pros keyboard if familiar e series phones type keyboard interface sort modified symbian liked lot ways style hardware attractive gray nice color camera pretty decent considering megapixels for e mail adequate cons i ll start small issues work big problem ultimately made decide return onboard social network apps fully functional you update facebook twitter status rest so so ovi store general poor app store able use many them even old facebook app used old e it used called snaptu facebook since renamed facebook everyone incompatible better apps ovi store browser mediocre barely passable also no gps nokia ovi maps incompatible bad always nokia strength that immediately eliminates smart with said bought wife really needed texts calls could overlooked things problem could overlook shabby flimsy piece metal supposed hold place standard sim card little piece metal barely attached would lock place hold sim card because sim card would intermittently get lose inside constantly lose signal so would take battery re adjust sim card then would work little ultimately repeat process way frustration worth it s bad basic calls texts e mail occasionally updating facebook twitter status lot potential becuase problem sim card holder however essentially unusable used nokia phones years i use lumia personally really surprised nokia would sloppy job something important part holds sim card place what waste,0
we received days ago put consumer cellular sim card ready go seems nice even though come close discovering things do large number ring tones built in,1
bought christmas present wanted something bit advanced nokia c purchased amazon want go way smartphone in words feature smartphone features without touch screen red however favorite color went white c silver find silver asha amazon i ve week works great best wi fi feature gives access web without purchasing data plan which may want access personal email go facebook calendar alarm clock text messaging camera missed received call features c makes keeper and little bigger wider screen big can t fit pocket purse use nokia charger c now await arrival purple skin i ll right i ve nokia phones since they ve never let get better,1
phone pretty good using lycamobile plan only thing awkward bottom row letters compared phones devices before using blackberry when trying type nokia always mistyping ms ns espectially shift key which need hit insert punctuation,1
loved everything it also looks touch not makes stylish yet classic,1
this is a solution if you want you are looking for economic and not very sophisticated your price is a good choice for the product that receive recommend it,1
excellent price impressed features would recommend anyone,1
have problems setting correct time nokia asha customer support nokia com accept inquiry asha phones is product obsolete nokia customer support poor booklet came also poorly written,0
although seems small screen however capable performing basic functions calling messaging web browsing social networking also wi fi capability,1
i ve long time user iphone finally got sick sold it wanted simple after going them fits bill well texting interface nice intuitive battery life stellar connects internet fine check email case emergency look directions etc basically everything able smartphone without bells whistles having physical keyboard quite nice too os seems stable snappy you things calendar todo memos etc backup snap just insert sd card go settings back up no itunes if want add music podcasts plug computer copy paste sd card done i would buy definitely broke lost it,1
phone nokia s feature phones value durability last buying nokia c also lasted years probably would kept going accidentally jumped pool pocket p basically update c sleek small full qwerty keyboard wi fi internet browsing best get looking functionality want throw hundreds dollars smartphone data plan and buyer aware not smartphone if looking anything smartphone disappointed if looking toy take pocket every couple minutes tinker around with disappointed yes internet browser works well screen quite small recreational browsing use look things up works fine that also social network apps use them know well work that s priority probably best choice same goes camera use it can t speak quality camera important best choice the potential negative see keys really pretty small issue personally someone big hands see could annoying i bought advantages not owning smartphone longer battery life higher durability lower cost still accomplishing needs to if looking thing nokia definitely best way go,1
love it,1
sorry took long reply review purchase months this phone clone phone hong kong the quality fair all the symbols don t match such but works think amazon boycott seller,0
bought gift mum loves it strong durable phone reception functions well,1
incredible splaniish language dont understand international version lost money,0
bad,0
,1
battery died less hours,0
excellent product,1
well,1
cannot connect gsm network,0
cell exceeded expectations user friendly everything works said would price amazingly cheap features enormous helpful,1
pros works fine easy use heavy cons apps android iphone bb,1
went lots reviews different buying it found pretty good no problems far,1
excelente,1
say ok keyboard there language options korean chinese,0
excelente,1
phone works great looks shipped quiet quickly issue european charger purchase micro usb usb cable charge would download update system way,1
ver good,1
pretty capable durable texting phone unlocked advertised version received arabic keys addition typical iso basic latin many symbols missing,0
excellent special functions communicated social networks excellent operational i recommend excellent product,1
do buy it feels pretended toy hand if want kids ok,0
excellent phone adults recommend whatsapp internet app radio keyboard qwerty easy use display big visualiser funny,1
enjoyed nokia c years tired needed update asha symbian s simple goodness much higher quality set hardware screen sharper processor faster takes nice clear pictures pretty much enough ring alert tones discreet professional internet mail stuff actually useable t mobile s g network requires little data stay connected minumal plan strangely cannot wifi yet receives signal insists using network data nothing all probably setting menu toggled right setting anyway want texts easily day battery convenient useable features yet crack open crack pipe internet constanly asha style some may get another two future bet end run type practical,1
got work took verizon store battery work even charged hrs verizon put another used battery started work,0
liked,1
great arrived quickly,1
phone works great may get sum card adapter make micro sim cats work,1
avianna llc incredible seller take get place however work provider andrew stayed tech support service provider hrs try get work when work immediately sent replacement use he receptive feedback constantly contact problem arises product described used sprint unlocked blackberry bold believe service provider problem,1
ad advertised unlocked pay unlocked number appear,0
exactly expecting thank you,1
got faster expected just needed job thanks lot,1
exelente,1
works price although got ups ups guy dropped screen door big door,1
keeping mind sub generally advertised cheapest quad core phone landvo l turned exceeded expectations from research landvo seems new company l first model released march took risk although less huge risk buying april reviews available main thing looking powerful inexpensive price point battery life also major factor so purchased basis price range time quadcore processor also sports mah battery largest battery price point available models there lot things immediately liked despite low resolution lack ips screen pretty crisp viewing angles decent battery life also good as averaging two days average use full charge one day heavy use would usually put around range still bad also almost shocked build quality heavier name brand competition size class weighty solid feel it sides metal volume rocker power button there creaks everything fits together tightly fit finish top notch believe screen plastic glass however their pros cons plastic screen susceptible scratching however mean never worry cracked screen drop came screen protector prefitted additional box included silicone case relatively simple also nice touch especially owing fact no name brand unlikely third party support cases such however would recommended anyone time why because performance lackluster quadcore soc quite snappy however small mb ram suffering android wary purchasing less gb ram regretting point would freeze stutter even simplest tasks hammering text put forth best efforts streamline system much possible keep running smoothly fact enough ram power android comfortably ready ditch something new i completely changed tune however hesitate recommend heartbeat why surprisingly landvo supported releasing official kitkat rom for tech savvy boon kitkat actually streamlined google devices mb ram run comfortably bit resource hog at point figured nothing lose i planning dumping anyways needless say flashing kitkat made world difference performance literally night day upgrading literally got rid all lag experiencing quite fast i would argue faster sero pro tablet running old venerable tegra processor demanding apps load quickly without stuttering animations smooth everything become joy use phone if looking ridiculously cheap fast android battery life build quality looking hands down it s going compete totl phones measly expecting that what get perfectly usable almost throw away price i ve noticed vendors selling l android already installed looks new stock upgraded if tech savvy comfortable flashing phone make sure purchase already installed you love do,1
is product that recomended need fast looking good thank,1
autistic son glory lol thank,1
all around phone glitchy all laggy there fee problems storage small only gb camera poor quality i m pretty certain buy galaxy s camera install but around pretty phone,1
problem taking straight talk the came weeks thing camera horrible trying get take picture pictures clear,1
delivery fast overall quality price cheap not quality camera feature use also durable screen damaged inch drop however suppose get pay month willing buy real lose terrible one,0
perfect,1
worked ok awhile every time tap back shuts,0
great my sone happy it needed get extra micro sd card storage,1
valid movilnet venezuela low memory bad camera low price great,0
good excellent,1
when first got poor camera day hit pencil turned immediately whatsoever would recommend getting phone especially take lot pictures use lot apps storage also poor,0
cheap fast,1
works charger outlet fixed sent falls doesnt charge it cost dollars charger fixed messes motherboard up thats almost much,0
cell,1
responsible seller excellent product,1
muy bueno,1
fino fino,1
exelentes equipos en lenguaje criollo son una verdaderas naves,1
good,1
its price hate change lock screen wantand default wallpapers lockscreen,1
when got new phone loved android small limited would let set sd card want it so may upgrade new android heard work better figure my using straight talk problem setting straight talk apn setting so far want find better protection case this found like hopefully make,1
fm radio feature charge cradle switched back lg flip cost less best buyreception weak signal areas lg phone t mobile networkbacklighting uneven keypad number really bright phone user manual small designed older people manual size phone fits small box shipping manual explain use button clear concise way i get alarm repeat daily turning alarm would cancel alarm next day,0
bouht year old mother macular degeneration loves it easy see big numbers dialing such,1
ad love it,1
charger work my parents started using cable directly,0
have family member zero interest learning anything tech years ago gave old t mobile pre paid flip kept years backup to perfect she want learn anything else problem buttons small getting hard her ordered put sim away went she loves it lot extra stuff ever decides wants learn for loves much larger buttons are just dead simple use wants,1
quality,1
work well t mobile t mobile closes towers non t mobile phones,0
screen size easy read sound could little louder okay settings little cryptic get job done extra key stokes really needed care way setup texting hit button twice get capital letter hit turn capitals my brand automatically capitalized first letter period not still though worth money,1
th cellphone dad less year my dad always type heavy labour work process always ends destroying process well first impressions recieved cellphone mail keypad really numbers huge also display quite clear crispy simple understand he problem adjusting new device it fm radio need headphones work camera ok best plausible sd slot media but cannot play music videos files dont show try search folders memory led light alert notifications plus ringtones pretty loud too good pick aging parents,1
really visually impaired problem it will getting another partner,1
more complicated expected terrible reception too hard mom use just frustrates her,0
no internet,0
reception poor incoming calls,0
nice easy read screen senior tech learning curve steep support jethro however made easy they knowledgeable easy understand patient willing help would recommend them sos button feature limited use telephone much less expensive tool life line,1
sleek design easy use makes really good large text plus,1
my husband loves it simple use large numbers simpler better him,1
reason gave star little hard elder person use,0
even instruction book better ever had senior need big print phone website page clearly tells us seniors take instructions go places especially traveling computer readily hand remember laptop generation getting tablets often small otherwise far great love name ask brother jethro leaving,1
purchased father really features price excellent deal took exactly month get everything working issue my first unlocked phone consumer cellular manual came things manual match phone i received lot help jethro jeffrey jethro godsend he extremely helpful always cheerful voice he called me sent pictures etc he whatever took help issues even though obvious problem jethro s end i really stars jeffrey hope jethro realizes employee him,1
works g above simple use no frills,1
simple sleek minimalist accepts sim perfect back up nice matte finish pretty emerald green notification light a cool alarms ringtones what could improved very limited space messages will stop accepting txts even adding sd card help programmed utilize messages camera worse security footage why even bother menu structure intuitive,1
sounds water shuts call,0
contacting jethro customer service couple keys sticking as speaking rep noticed breaking much told g and likely work well area so kind enough send g model sc this seems working fine so far must say best customer service response solve issue,0
new edition jethro sc v flip quad band unlocked gsm senior kids cell phone sos emergency button large lcd large keypad a nice phone easy operate cost friendly its also light easily portable you use micro sim save music photos,1
everything great hard time getting old sim card work it verizon hooked,1
year old dad wanted camera probably able deal iphone needs memory card camera work though it s nice set speed dials,0
bought supposedly able work straighttalk tracfone we put tracfone sim card board bought buck straighttalk minutes card discovered compatible straighttalk ther local wally world wants least bucks sim card kit work supposedly my daughter worked hour called every available number no good she expert today s high tech cheaper tracfone card available i ll ask daughter take another try time job family take care of as another point way manual use download pdf print regular pages otherwise readers strength magnifying glass no recommend anyone particularly elderly people i m ready turn,0
met expectations easy use gave gift veto elderly relative she loves it,1
bought year old aunt seems easy use would certainly recommend it purchased another brand senior price last weeks due quality screen,1
received product,1
good elderly people,1
bought mom she loves it,1
searched unlocked flip phones d old t mobil longer works house this looks but d capability second minisim i need simplicity husband barely answer flip let alone use no desire buy mini sim i believe badly described manual bad english seems different,0
not sensitive track phone jethro easier read,0
unhappy purchase first paid shipped received found staight talk would longer work att cell carrier area able send back pay postage happy ken,0
computer programmer admit never made transition smartphone mainly sit computer everyday anyway if need access smartphone apps use laptop besides screens tiny farsighted means use smartphone going carry even items reading glasses but adventurous type biking motorcycling hang gliding scuba etc could find need assistance risky adventures and live alone might need get help car breakdown home injury situation so bought pre paid cells thought go that s problem solved no wasn t kept pocket dialing see screen either but worse thing battery would go dead every days since never used cell except emergencies would always always forget charge it so prepaid work emergency phone jethro solved problem big screen clamshell inexpensive pre paid soooo much useful because clamshell get pocket dialing because big screen carry reading glasses around actually using little taking todo notes using calculator well fm radio flashlight and battery lasts week standby mode honestly used yet real emergency call yet but placed several test calls works great jethro took pre paid t mobile sim problems running minutes so need cellphone throw backpack glove box case emergency it plus inexpensive break lose it no biggie,1
fast shipping accurate description,1
unable maintain signal weeks usage tmobile network hope defected product,0
great,1
shortly return window closed stopped taking charge turn on,0
stopped working months not happy,0
defective product placed t mobile sim card read it not recommend purchasing,0
sound quality poor speaker,0
great phone,1
excelente,1
met expectations dad loved enjoying it,1
may issue expectation mismatch for thing much smaller expected some might think thing but many elderly hearing aid equipped people would work better physical dimensions larger secondly time hold red button turning short my year old mother law often turns hanging up that said works fine buttons numbers large,0
bought elderly grandfather vocal everything get whether not he likes loud simple he need glasses use it able sync at t,1
just needed older relative,1
gift grandma south america loved thanks,1
speakers garbage tells time military time,0
bought elderly parent he at t put sim card at t jethro worked problem dropped calls he would receive make call would hang person line i m asking refund carrier he bars calls took place,0
great simple getting harder harder find for not want smartphone need elderly family member someone tech savvy little gave four stars though carrier at t recognize signature phone wound buy at t friendly works billed system would automatically charge smartphone extra bill since recognize signature we giving military reuse,1
my granny use able use locking function without lock called people pocket if lock easier her would great,0
not sound easily used senior end button also turn button so elderly mom keeps turning phone will find another one would purchase again the purchase delivery scheduled,0
really surprised phone fm radio flashlight sos feature nice well mom,1
nice big numbers everywhere simple too,1
ordered would work at t called company told due lack towers found odd since cell at t,0
as hope seniors reminiscent cordless house makes easy use year old buttons light bright ringtone volume adjustable max loud enough anyone hearing problem though surprisingly call volume adjustable though louder previous verizon flip max volume set cricket service takes mini sim card not micro someone else stated buy another sim card micro ordered small mini sims original large cards we live us know people claiming work us paid ish phone would paid design functionality side note concerned grandmother would always accidentally hit sos button has disabled settings,1
good,1
thank,1
easy use my mother use well,1
word wise check seller type service not work technically challenged am learned something new unlocked unlocked mobile service carriers sprint would helpful read product description purchasing seems perfect seniors apparently senior moment ordered it,0
sim card provider would work phone returning,0
purchased parents difficulties small buttons phones thanks size buttons display squinting also love keys raised menu layout also simple use programmable numbers makes easy call frequently used numbers ringer volume good would buy again,1
with little bit effort able familiarize phone using became intuitive came nice easy read booklet purchasing checked see web site does inserted sim card charged battery took couple hours several problems first first cell much experience mistakenly set language portuguese figure do luckily several online tutorials web site restored factory setting once english able figure easily one thing figured use military time pm equal setting time pm setting all happy being hearing impaired able hear basic ring loud when put pocket face keypad leg speaker comes back even louder same thing set table put face ring loud clear questioned using lanyard e mailed jethro company they got right back confirmed small hole upper left side could accommodate lanyard removing back feeding lanyard hole looping around replacing back customer service nice answered question easy understand manner lock pocket wont random dial all need press asterisks screen says unlocked dial out always accepts call without turning on exactly simple looking for returned several work went model use consumer cellular less expensive for with aarp discount get hours talk per month,1
great simple use mother big buttons easy see use she use arm charge cradle benefit easy setup clarity gets signal,1
bought mom late s highest rated senior stopped working hated confusing operate menu functions so took chance despite complaints read reviews some problems addressed corrected longer difficult lock unlock keys you press lower left button couple seconds word locked comes up assume since that s says spanish set mom s spanish there second way directional key need try since mom got right away and definitely technology another complaint clock set military hr time well choose set hr the easy set relief me compared previous let s face it non seniors probably set up sometimes effort simplify phones take away buttons makes harder navigate the light weight ringer loud enough cradle easier senior you can t beat price worked well sim card on negative side agree complaint loud enough turned volume way afraid mom would able hear caller she agreed give chance may exchange since hearing great back cover thin plastic afraid break removed it wish alarm when comes senior phones slim pickings half price old comes close meeting requirements since seniors hard hearing really need make louder,1
returning product volume absolutely abysmal even maximum audible me bought elderly mother way able hear anything for marketed elderly disgrace,0
simple use does seem get tiem updates at t,1
phone number comes daily spam calls really annoying good,0
perfect great inexpensive senior bright large backlit numbers clear controls large number buttons light weight flash light gsm for paid almost wanted myself breath fresh air smart phones good battery life really lucked choosing might buy another backup father tends misplace things i used giv mobile unlimited talk text mb data month contract,1
good mom big numbers however settings somewhat confusing,1
locks accidentally used screen small read text message not easy use elderly person,0
bought elderly mother pretty nice fairly easy use most importantly large buttons fairly large display also easy add at t account a couple negatives sos button nice feature fairly easy set off so prepared false alarms another issue displays time hours system for example pm extremely confusing mother bought last nov called jethro sometime dec regarding advised firmware update coming late dec early jan waited feb emailed told update fix time display issue expected march continue checking back support section website i ve called emailed several times regarding issue told thing everytime fireware update coming months just advised displays time hour system,0
bought grandma make receive calls tried manual selection network also factory reset nothing happened at t,0
it s emergencies numbers nice big easy use thank you much,1
work iwirless,1
does cyrillic that surprize,1
we bought year old mother hearing impaired she could hear well all,0
as arrival charge frustrating,0
looks good advertised instructions easy follow keys quite large fairly easy see,1
my dad loves works confusing bells whistles,1
very bad week bought could turn offnot worth hassle buy,0
both grandmas love it could bigger screen ringtones,1
it s looking,1
mom kind change taken time effort get embrace versus old flip,1
pros cradle nice lack camera cheaper snapfoncons reception terrible we t mobile phones work inside house except one apparently g phased out so expect reception get worse time time date set automatically seriously what year this unlike every phone buttons directly screen actually navigation buttons m m speed dials probably problem someone s first phone drove nuts fcc id might illegal use us poor manufacturing quality battery hard insert remove battery slightly big part supposed fit voice mail number programmed similar time date every i ve ever picked setting network automatically as reviews mentioned hangup button pressed longer second powers off easy accidentally do,0
stopped working month use,0
placement m m buttons particular made confusing elderly father use he tried numerous times get turn make simple call could get work now longer charges comes weeks fortunately cost much waste money,0
bought simple option year old father big buttons charging cradle feels cheap afraid i d break plastic pieces pulling cover get battery sim card we nstalled different sim cards cricket wireless at t network store could get connected don t know sure something broken incompatibility other reviewers saying connected at t leads think something wrong going back i m going try another brand,0
giving stars know durability everything else perfect says call quality good sos speed dial direct dial works great quality good docking station issue issue direct charging still rate stars everything else perfect,1
real nice simple grandma,1
basic features necessary seniors,1
returned would read sim card,0
great elderly familiar w cell phones numbers large easier see,1
working,0
my year old mother partially blind easily read numbers thing however supports g therefore work at t microcell house since limited cell coverage house without microcell receive cell signal majority time,0
loving,1
love simple handset limited number features find get trouble,1
difficult unlock to unlock phone need press unlock key times first press wakes phone second press results message says press unlock key unlock third press unlocks there easier method unlocking keyboard without disabling lock altogether if buying someone elderly technology issues as did may lot difficulty using if three unlock presses done quick enough unlock sequence started again if unlock key pressed times locked instead unlocked all difficult explain someone dexterity technology issues i never heard difficult unlock it s hard believe easier method unlock however called customer support confirmed take unlock presses unlock alternative disable lock feature on plus side sos key work well require unlock keys sos key programmed send text messages call another thing note title indicates extra today however raised price yesterday so saving hate companies raise price tell going save more paid black friday price lower normal price,0
wish ring louder still heard ok hard hearing everything louder easy work lot buttons pushed accidentally might buy friend am wondering compatible verizon only problem setting up book says go settings tell get settings if go left utton key push say book just keep pushing arrow lead settings can unlock set rings,1
worked alright qccidetly pushed silent button wich explained miserable chinglish user guide then completely stopped incoming calls and icound reset it,0
after reviewing grandmothers bills realized paying month jitterbug unlimited talk used minutes month text never sent one bought at t add contract line plan month gave this works her,1
word wise check seller type service not work technically challenged am learned something new unlocked unlocked mobile service carriers sprint would helpful read product description purchasing seems perfect seniors apparently senior moment ordered it,0
sim card provider would work phone returning,0
purchased parents difficulties small buttons phones thanks size buttons display squinting also love keys raised menu layout also simple use programmable numbers makes easy call frequently used numbers ringer volume good would buy again,1
great phone,1
excelente,1
met expectations dad loved enjoying it,1
may issue expectation mismatch for thing much smaller expected some might think thing but many elderly hearing aid equipped people would work better physical dimensions larger secondly time hold red button turning short my year old mother law often turns hanging up that said works fine buttons numbers large,0
bought elderly grandfather vocal everything get whether not he likes loud simple he need glasses use it able sync at t,1
just needed older relative,1
gift grandma south america loved thanks,1
speakers garbage tells time military time,0
bought elderly parent he at t put sim card at t jethro worked problem dropped calls he would receive make call would hang person line i m asking refund carrier he bars calls took place,0
great simple getting harder harder find for not want smartphone need elderly family member someone tech savvy little gave four stars though carrier at t recognize signature phone wound buy at t friendly works billed system would automatically charge smartphone extra bill since recognize signature we giving military reuse,1
sim card dose read point selling tablet phone work,0
item worth money paid cant find put memory card screen clear blurred item sucks,0
good,1
tablet really looking sim card work sd card never read charger cord broke i purchase another i m really upset product really surprise wanted tablet would things,0
when charging battery screen waves interference point would use tablet charging returned tablet,0
little ok use straighttalk unlimited plan g at t g sim lot chinese apps remove viewing angles screen best however looks really sharp straight on has excellent quality picture video netflix very poor camera texts networks reached at t friends all is android kitty kat use google apps voice search excellent if decipher worn gravely southern accent every time work well you great international travel pop european sim extra slot business if phablet better camera would steal battery last days used when surf use wi fi continuously need recharge often going kept used,1
am in venezuela the battery charger is damaged and here in venezuela no warranty that battery charger tablet,0
tablet worked months giving trouble connect wifi play store access sucks,0
really nice daughter uses everyday almost year still going strong she loves,1
,1
thank s best supply,1
doesn t google play even though picture description says does contacted e passion they worse useless they kept telling stupid stuff install google play non existent app market obvious understand much english,0
very upset tablet work sending back will replacing it,0
excellent,1
phablet general uses,1
is love everything it,0
liked language mandarin hk also cannot downland apps android stores,0
my friend brought work ordered amazon work together overseas live johannesburg when got home tested microphone doesnt work so hear hear you now im stuck would get ut back texas very unhappy product,0
my friend brought work ordered amazon work together overseas live johannesburg when got home tested microphone doesnt work so hear hear you now im stuck would get ut back texas very unhappy product,0
got complete working scale model office little actually pretty accurate touch screen get fat fingers hit little tiny keys keyboard probably bad someone kid s hands i can t say i m disappointed got yellow that s wanted but color stock green got yellow drop star also went put battery discovered this phone is not rugged battery cover simply snaps seals protect water splashes so minus another star all bad smartphone take much space tankbag motorbike hiking bag but keep zip top bag if bluetooth keyboard mouse or vnc did lot easier set up,0
arrived broken forgot send back,0
worth money plastic flimsy hardly works trying return mine now waste money,0
size whatever happened days supposed make things smaller suppose days gone people needing watch youtube videos p this right size it internal memory much desired also use micro sd card slot move apps to know probably rooted accomodate this must rooted install app here isn t easier way ota update something i m technically savvy would install app here after all supposed smart phone other quirks use daily driver would intimidated mother nature speaker soft times works me if changes review i ll update i m able to,0
is partial internet working but indigi workin it hope ok,0
second sim card use activated contacted company still response i m currently research matter to early rate cause two weeks,0
little compact easy use love michelleheraud,1
little compact easy use love michelleheraud,1
little compact easy use love michelleheraud,1
hate it sending back keeps blinking off want refund back,0
lots nice features touch response slow nice looking use week write review again sound volume poor,0
we buy work price would extremely durable average person we hvac break lot holster fault,1
they wonderful got son tends break them extras without going hassle ordering again thanks that rates stars,1
does job barely,0
lasting longer oem,1
crear product fast arrived,1
good thing order pack poor quality already burned cases,0
works great,1
looks original believe original whole lot cheaper,1
work nice price bought many,1
bought father little month ago able give today when put holsters all them held securely he still original otterbox holster compared them fits snugly holsters basically otterbox piece holds place replacement holsters allows slip barely bumped would ve loved return them window passed,0
great,1
great value uses otterbox defender,1
great buy service,1
work great,1
bought pack still first one seems working well broke holds without bulk leather flip case,1
thick old do,1
purchased pack weeks back broke third today these brittle slightly smaller need fit defender case my last otterbox clip lasted year finally broke would recommend item,0
other clip breaks easily it s ok price,1
fits advertised,1
